Timestamp,Task,Type,Mode,Agent,Round,Model Name,Role Name,Data Num,Mean Fluency,STD Fluency,Mean Flexibility,STD Flexibility,Mean Originality,STD Originality,Mean Elaboration,STD Elaboration,File Name
2024-03-16 20:47:35,AUT,single,default,1,1,gpt-3-5-turbo-0125,,10,10.067,3.176,10.933,3.025,3.47,0.398,3.165,0.297,AUT_single_debate_default_1_1_gpt-3.5-turbo-0125_None_final_2024-03-16-20-47-35_10
2024-03-16 22:12:14,AUT,debate,prompt-4,2,6,gpt-3-5-turbo-0125,None,10,7.367,2.044,7.183,2.01,4.039,0.397,3.89,0.333,AUT_multi_debate_default_2_6_gpt-3-5-turbo-0125_None_final_2024-03-16-22-12-14_10
2024-03-16 23:58:17,AUT,debate,prompt-5,2,6,gpt-3-5-turbo-0125,None,10,8.7,2.749,9.283,2.757,4.066,0.507,3.839,0.426,AUT_multi_debate_prompt-5_2_6_gpt-3-5-turbo-0125_None_final_2024-03-16-23-58-17_10
2024-03-17 00:03:24,AUT,debate,prompt-1,2,6,gpt-3-5-turbo-0125,None,10,8.433,3.266,7.583,2.364,3.968,0.355,3.752,0.474,AUT_multi_debate_prompt-1_2_6_gpt-3-5-turbo-0125_None_final_2024-03-17-00-03-24_10
2024-03-17 01:41:07,AUT,debate,prompt-2,2,6,gpt-3-5-turbo-0125,None,10,9.517,3.916,8.533,3.516,3.848,0.316,3.671,0.405,AUT_multi_debate_prompt-2_2_6_gpt-3-5-turbo-0125_None_final_2024-03-17-01-41-07_10
2024-03-17 01:43:05,AUT,debate,prompt-3,2,6,gpt-3-5-turbo-0125,None,10,7.5,2.335,7.8,2.242,4.14,0.368,4.031,0.472,AUT_multi_debate_prompt-3_2_6_gpt-3-5-turbo-0125_None_final_2024-03-17-01-43-05_10
2024-03-17 12:10:38,AUT,debate,prompt-2-final,2,2,gpt-3-5-turbo-0125,None,10,8.783,2.234,8.983,3.05,3.529,0.368,3.1,0.319,AUT_multi_debate_prompt-2-final_2_2_gpt-3-5-turbo-0125_None_final_2024-03-17-12-10-38_10
2024-03-17 13:13:18,AUT,debate,prompt-2-final,2,3,gpt-3-5-turbo-0125,None,10,10.117,3.817,8.333,2.773,3.629,0.39,3.44,0.343,AUT_multi_debate_prompt-2-final_2_3_gpt-3-5-turbo-0125_None_final_2024-03-17-13-13-18_10
2024-03-17 14:39:12,AUT,debate,prompt-2-final,2,4,gpt-3-5-turbo-0125,None,10,8.417,2.442,7.867,2.077,3.775,0.252,3.553,0.348,AUT_multi_debate_prompt-2-final_2_4_gpt-3-5-turbo-0125_None_final_2024-03-17-14-39-12_10
2024-03-17 16:10:52,AUT,debate,prompt-2-final,2,5,gpt-3-5-turbo-0125,None,10,8.433,2.281,8.467,2.754,3.942,0.175,3.653,0.289,AUT_multi_debate_prompt-2-final_2_5_gpt-3-5-turbo-0125_None_final_2024-03-17-16-10-52_10
2024-03-17 17:34:58,AUT,debate,prompt-2-final,2,6,gpt-3-5-turbo-0125,None,10,11.617,5.549,9.367,3.734,3.935,0.383,3.565,0.412,AUT_multi_debate_prompt-2-final_2_6_gpt-3-5-turbo-0125_None_final_2024-03-17-17-34-58_10
2024-03-17 19:16:17,AUT,debate,prompt-2-final,2,8,gpt-3-5-turbo-0125,None,10,9.05,2.539,9.067,3.053,3.845,0.277,3.731,0.562,AUT_multi_debate_prompt-2-final_2_8_gpt-3-5-turbo-0125_None_final_2024-03-17-19-16-17_10
2024-03-17 20:53:48,AUT,single,default,1,1,gpt-3-5-turbo-0125,,10,9.2,0.618,9.033,1.016,3.41,0.345,3.2,0.436,AUT_single_single_final_1_1_gpt-3.5-turbo-0125_None_final_2024-03-17-20-53-48_10
